id	prompt	waveId	transcription	recResult	language	meaning	edition	category
866	Sag: Ich möchte in der ersten Reihe sitzen	user-45_2014-11-19_11-50-52_utt_068	i want to sit in the front row	i want to sit in the from row	correct	correct	ST2	A
867	Sag: Ich möchte in der ersten Reihe sitzen	user-45_2014-11-19_11-50-52_utt_069	i want to sit in the front row	i want to sit in the second row	correct	correct	ST2	A
868	Frag: Tickets für das London Eye	user-45_2014-11-19_11-50-52_utt_070	i'd like tickets for the london eye	i would like tickets for the london eye	correct	correct	ST2	A
869	Frag: 1 Ticket	user-45_2014-11-19_11-50-52_utt_071	one ticket	one ticket	correct	correct	ST2	A
870	Frag: 1 Ticket	user-45_2014-11-19_11-50-52_utt_072	i'd like one ticket	i'd like one ticket	correct	correct	ST2	A
871	Frag: Wo ist der Zoo?	user-45_2014-11-19_11-50-52_utt_078	where is the zoo	where is the zoo	correct	correct	ST2	A
873	Frag: Welcher Bus fährt dorthin?	user-45_2014-11-19_11-50-52_utt_080	which bus goes there	which bus goes there	correct	correct	ST2	A
874	Sag: Es ist nahe der Bank of England	user-45_2014-11-19_11-50-52_utt_082	it is near bank of england	does near bank of england	incorrect	correct	ST2	A
875	Sag: Es ist nahe der Bank of England	user-45_2014-11-19_11-50-52_utt_083	it is near bank of england	is there near bank of england	incorrect	correct	ST2	A
876	Sag: Ich muss gehen	user-45_2014-11-19_11-50-52_utt_085	i want to go	i want to room	correct	correct	ST2	A
877	Sag: Ich muss gehen	user-45_2014-11-19_11-50-52_utt_086	i want to go	i want to boots	correct	correct	ST2	A
878	Sag: Ich muss gehen	user-45_2014-11-19_11-50-52_utt_087	i want to go	i want to go	correct	correct	ST2	A
879	Sag: Mir geht es gut	user-45_2014-11-19_11-50-52_utt_090	i'm fine	i'm fine	correct	correct	ST2	A
880	Frag: Stiefel	user-45_2014-11-19_11-50-52_utt_091	i'd like boots	i'd like boots	correct	correct	ST2	A
881	Frag: Stiefel	user-45_2014-11-19_11-50-52_utt_092	i'd like some boots	i'd like some boots	correct	correct	ST2	A
882	Frag: blaue Stiefel	user-45_2014-11-19_11-50-52_utt_093	i'd like blue boots	i'd like blue boots	correct	correct	ST2	A
883	Frag: Grösse 42	user-45_2014-11-19_11-50-52_utt_095	i am a forty-two	i am a forty two	correct	correct	ST2	A
884	Frag: Grösse 42	user-45_2014-11-19_11-50-52_utt_096	forty-two	forty-two	correct	correct	ST2	A
885	Frag: Grösse 42	user-45_2014-11-19_11-50-52_utt_097	i am a forty-two	i am a forty two	correct	correct	ST2	A
886	Frag: Hosen	user-45_2014-11-19_11-50-52_utt_098	i want pants	i want petite	correct	correct	ST2	A
887	Frag: violette Hosen	user-45_2014-11-19_11-50-52_utt_099	i'd like violet jeans	i'd like brown jeans	incorrect	incorrect	ST2	A
891	Frag: Wie viel kostet es?	user-45_2014-11-19_11-50-52_utt_104	how much costs this	how much costed this	incorrect	correct	ST2	A
892	Sag: Dies ist zu teuer	user-45_2014-11-19_11-50-52_utt_105	this is too expensive	this is too expensive	correct	correct	ST2	A
893	Sag: Mir geht es gut	user-45_2014-11-19_11-50-52_utt_108	i'm fine	i'm fine	correct	correct	ST2	A
894	Frag: Stiefel	user-45_2014-11-19_11-50-52_utt_109	i'd like boots	i want boots	correct	correct	ST2	A
895	Frag: Stiefel	user-45_2014-11-19_11-50-52_utt_110	i'd like some boots	i'd like some boots	correct	correct	ST2	A
896	Frag: braune Stiefel	user-45_2014-11-19_11-50-52_utt_111	i'd like brown boots	i'm brown boots	correct	correct	ST2	A
897	Frag: braune Stiefel	user-45_2014-11-19_11-50-52_utt_112	i'd like brown boots	i'd like brown boots	correct	correct	ST2	A
898	Frag: braune Stiefel	user-45_2014-11-19_11-50-52_utt_113	i would like brown boots	i would like brown boots	correct	correct	ST2	A
899	Frag: Grösse 36	user-45_2014-11-19_11-50-52_utt_114	i'm a thirty six	i am a thirty-six	correct	correct	ST2	A
900	Frag: Grösse 36	user-45_2014-11-19_11-50-52_utt_115	i'm a thirty-six	i am a thirty-six	correct	correct	ST2	A
901	Frag: Jeans	user-45_2014-11-19_11-50-52_utt_116	i'd like jeans	i want a suite	correct	correct	ST2	A
902	Frag: rote Jeans	user-45_2014-11-19_11-50-52_utt_117	i'd like red jeans	i'm censored juice	correct	correct	ST2	A
904	Frag: eine L	user-45_2014-11-19_11-50-52_utt_119	large	large	correct	correct	ST2	A
905	Frag: Wie viel kostet es?	user-45_2014-11-19_11-50-52_utt_120	how much cost it	how much costed	incorrect	correct	ST2	A
906	Frag: Wie viel kostet es?	user-45_2014-11-19_11-50-52_utt_121	how much is this	how much is this	correct	correct	ST2	A
907	Sag: Dies ist zu teuer	user-45_2014-11-19_11-50-52_utt_122	that's too much	that's too much	correct	correct	ST2	A
908	Sag: Dies ist zu teuer	user-45_2014-11-19_11-50-52_utt_123	that's too expensive	this is too expensive	correct	correct	ST2	A
909	Frag: ein Ticket zum Piccadilly Circus	user-45_2014-11-19_11-50-52_utt_126	i'd like a ticket to the piccadilly circus	i'd like a ticket to the piccadilly circus	incorrect	correct	ST2	A
910	Frag: ein Ticket zum Piccadilly Circus	user-45_2014-11-19_11-50-52_utt_127	i'd like a ticket to the piccadilly circus	i have a ticket to the piccadilly circus	incorrect	correct	ST2	A
911	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-19_11-50-52_utt_128	can i pay by mastercard	can i pay with mastercard	correct	correct	ST2	A
912	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-19_11-50-52_utt_129	i'd like to pay by mastercard	i'm going to tuesday mastercard	correct	correct	ST2	A
913	Sag: Ich möchte mit Schweizer Franken bezahlen	user-45_2014-11-19_11-50-52_utt_130	i'd like to pay by swiss franc	i'm going to pay by swiss franc	incorrect	correct	ST2	A
915	Sag: Ich habe nur grosse Noten	user-45_2014-11-19_11-50-52_utt_132	i only have large notes	i'm room a smaller notes	correct	correct	ST2	A
916	Frag: Wo ist der Geldautomat?	user-45_2014-11-19_11-50-52_utt_133	where is the atm	where the steak medium	correct	correct	ST2	A
917	Frag: eine Limonade	user-45_2014-11-19_11-50-52_utt_136	i'd like a lemonade	i'd like a lemonade	correct	correct	ST2	A
918	Frag: eine Limonade	user-45_2014-11-19_11-50-52_utt_137	i'd like a lemonade	i'd like a lemonade	correct	correct	ST2	A
919	Frag: ein Steak	user-45_2014-11-19_11-50-52_utt_138	i'd like a steak	i would like the steak	correct	correct	ST2	A
920	Frag: ein Steak	user-45_2014-11-19_11-50-52_utt_139	i'd like the steak	i'm fine suite	correct	correct	ST2	A
921	Frag: ein Steak	user-45_2014-11-19_11-50-52_utt_140	i'd like the steak	i would like the steak	correct	correct	ST2	A
922	Frag: mein Steak blau	user-45_2014-11-19_11-50-52_utt_142	i'd like my steak blue	i'd like my steak blue	correct	correct	ST2	A
924	Frag: Ich möchte die Dessertkarte	user-45_2014-11-19_11-50-52_utt_144	the dessert card please	the dessert card please	incorrect	correct	ST2	A
925	Frag: Ich möchte die Dessertkarte	user-45_2014-11-19_11-50-52_utt_145	i'd like the dessert card please	i'd like the dessert card please	incorrect	correct	ST2	A
926	Frag: Ich möchte die Dessertkarte	user-45_2014-11-19_11-50-52_utt_146	i'd like the dessert card please	i would like the dessert card please	incorrect	correct	ST2	A
927	Frag: einen Orangensaft	user-45_2014-11-19_11-50-52_utt_149	i'd like an orange juice	i'd like an orange juice	correct	correct	ST2	A
928	Frag: einen Orangensaft	user-45_2014-11-19_11-50-52_utt_150	i'd like an orange juice	i'm going to orange juice	correct	correct	ST2	A
929	Frag: ein Steak	user-45_2014-11-19_11-50-52_utt_151	i'd like the steak	i like the steak	correct	correct	ST2	A
930	Frag: ein Steak	user-45_2014-11-19_11-50-52_utt_152	i'd like the steak	i would like the steak	correct	correct	ST2	A
931	Frag: ein Steak	user-45_2014-11-19_11-50-52_utt_153	i'd like a steak	i'd like a suite	correct	correct	ST2	A
932	Frag: mein Steak durchgebraten	user-45_2014-11-19_11-50-52_utt_154	i want my steak well done	i want my steak well done	correct	correct	ST2	A
934	Frag: etwas Knoblauchbrot	user-45_2014-11-19_11-50-52_utt_156	i want some garlic bread	i want room garlic bread	correct	correct	ST2	A
935	Sag: Dies ist nicht was ich bestellt habe	user-45_2014-11-19_11-50-52_utt_157	that is not that what i ordered	where is not what i ordered	incorrect	correct	ST2	A
936	Sag: Dies ist nicht was ich bestellt habe	user-45_2014-11-19_11-50-52_utt_158	that is not that what i ordered	this is not that what i ordered	incorrect	correct	ST2	A
937	Sag: Dies ist nicht was ich bestellt habe	user-45_2014-11-19_11-50-52_utt_159	that's not this what i ordered	i have not this what i ordered	incorrect	correct	ST2	A
939	Frag: Zimmer für 1 Woche	user-45_2014-11-19_11-50-52_utt_163	i'd like a room for one week	i'd like a room for one week	correct	correct	ST2	A
940	Frag: Suite	user-45_2014-11-19_11-50-52_utt_164	i'd like a suite	i would like a suite	correct	correct	ST2	A
941	Frag: Suite	user-45_2014-11-19_11-50-52_utt_165	i'd like a suite	i would like the eat	correct	correct	ST2	A
942	Frag: Suite	user-45_2014-11-19_11-50-52_utt_166	a suite	a suite	correct	correct	ST2	A
943	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-19_11-50-52_utt_168	i'd like to pay by mastercard	i'd like to pay by mastercard	correct	correct	ST2	A
944	Frag: Gibt es einen Coiffeur?	user-45_2014-11-19_11-50-52_utt_169	there a coiffeur	there is portugal	incorrect	incorrect	ST2	A
945	Frag: Gibt es einen Coiffeur?	user-45_2014-11-19_11-50-52_utt_170	is there a hairdresser	is there a hairdresser	correct	correct	ST2	A
946	Frag: Wo ist der Coiffeur?	user-45_2014-11-19_11-50-52_utt_171	where is the hairdresser	where is the hairdresser	correct	correct	ST2	A
947	Sag: Das Zimmer ist dreckig	user-45_2014-11-19_11-50-52_utt_173	my room is dirty	my room is dirty	correct	correct	ST2	A
948	Frag: Wo ist der Haarföhn?	user-45_2014-11-19_11-50-52_utt_175	where is the hairdryer	where is the hairdryer	correct	correct	ST2	A
949	Frag: Zimmer für 6 Nächte	user-45_2014-11-19_11-50-52_utt_179	i'd like a room for six nights	i'd like a room for six nights	correct	correct	ST2	A
950	Frag: Einzelzimmer	user-45_2014-11-19_11-50-52_utt_180	single room	single room	correct	correct	ST2	A
951	Frag: Einzelzimmer	user-45_2014-11-19_11-50-52_utt_181	i'd like a single room	i would like a single room	correct	correct	ST2	A
952	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-19_11-50-52_utt_182	i'd like to pay by credit card	i'd like to pay by credit card	correct	correct	ST2	A
953	Frag: Gibt es einen Lift?	user-45_2014-11-19_11-50-52_utt_183	is there a lift	is there a	correct	correct	ST2	A
955	Sag: Ich habe keine Reservation	user-45_2014-11-19_11-50-52_utt_188	no i haven't a reservation	no i haven't got a reservation	incorrect	correct	ST2	A
956	Sag: Ich habe keine Reservation	user-45_2014-11-19_11-50-52_utt_189	i haven't a reservation	i have a reservation	incorrect	correct	ST2	A
957	Sag: Ich habe keine Reservation	user-45_2014-11-19_11-50-52_utt_190	i haven't a reservation	i have a reservation	incorrect	correct	ST2	A
958	Sag: Ich habe keine Reservation	user-45_2014-11-19_11-50-52_utt_191	i haven't a reservation	i haven't got a reservation	incorrect	correct	ST2	A
959	Sag: Ich habe keine Reservation	user-45_2014-11-19_11-50-52_utt_192	no i haven't a reservation	no i haven't got a reservation	incorrect	correct	ST2	A
960	Frag: Zimmer für 2 Nächte	user-45_2014-11-19_11-50-52_utt_193	i'd like a room for two nights	i want a room for two nights	correct	correct	ST2	A
961	Frag: Twinzimmer	user-45_2014-11-19_11-50-52_utt_194	i'd like a twin room	i would like a twin room	correct	correct	ST2	A
962	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-19_11-50-52_utt_196	i'd like to pay by credit card	i'd like to pay by credit card	correct	correct	ST2	A
963	Frag: Gibt es ein Hotelrestaurant?	user-45_2014-11-19_11-50-52_utt_197	is there a hotel restaurant	is there a hotel restaurant	correct	correct	ST2	A
964	Frag: Wo ist das Hotelrestaurant?	user-45_2014-11-19_11-50-52_utt_198	where is the hotel restaurant	where is the hotel restaurant	correct	correct	ST2	A
965	Sag: Ich habe keine Reservation	user-45_2014-11-19_11-50-52_utt_201	i haven't a reservation	i haven't got a reservation	incorrect	correct	ST2	A
966	Sag: Ich habe keine Reservation	user-45_2014-11-19_11-50-52_utt_202	i haven't a reservation	i haven't got a reservation	incorrect	correct	ST2	A
967	Sag: Ich habe keine Reservation	user-45_2014-11-19_11-50-52_utt_203	no i haven't a reservation	no i haven't got a reservation	incorrect	correct	ST2	A
968	Frag: Zimmer für 6 Nächte	user-45_2014-11-19_11-50-52_utt_204	i'd like a room for six nights	a room for six nights	correct	correct	ST2	A
969	Frag: Doppelzimmer	user-45_2014-11-19_11-50-52_utt_206	a double room	a double room	correct	correct	ST2	A
970	Frag: Doppelzimmer	user-45_2014-11-19_11-50-52_utt_207	i'd like a double room	i'd like a double room	correct	correct	ST2	A
971	Frag: Doppelzimmer	user-45_2014-11-19_11-50-52_utt_208	i'd like a double room	i'd like a double room	correct	correct	ST2	A
972	Sag: Ich möchte mit Postkarte bezahlen	user-45_2014-11-19_11-50-52_utt_210	can i pay by post card	can i pay with post card	correct	correct	ST2	A
973	Frag: Gibt es ein Fitnessstudio?	user-45_2014-11-19_11-50-52_utt_211	is there a fitness studio*z	is there a fitness studio	correct	correct	ST2	A
974	Frag: Wo ist das Fitnessstudio?	user-45_2014-11-19_11-50-52_utt_212	where is the fitness studio	where is the fitness studio	correct	correct	ST2	A
975	Frag: 4 Tickets nach London	user-45_2014-11-19_11-50-52_utt_215	i'd like four tickets to london	i'd like four tickets to london	correct	correct	ST2	A
976	Frag: 4 Tickets nach London	user-45_2014-11-19_11-50-52_utt_216	i'd like four tickets to london	i'd like four tickets to london	correct	correct	ST2	A
977	Sag: Ich möchte am Donnerstagmorgen abreisen	user-45_2014-11-19_11-50-52_utt_217	i want to leave at thursday morning	i want to leave at thursday morning	incorrect	correct	ST2	A
978	Sag: Ich heisse Stephanie	user-45_2014-11-19_11-50-52_utt_218	my name is stephanie	my name is stephanie	correct	correct	ST2	A
979	Sag: Ich bin aus Australien	user-45_2014-11-19_11-50-52_utt_219	i am from australia	i'm from austria	correct	correct	ST2	A
980	Frag: 5 Tickets nach London	user-45_2014-11-19_11-50-52_utt_222	i'd like five tickets to london	i need five tickets to london	correct	correct	ST2	A
981	Sag: Ich möchte nächste Woche abreisen	user-45_2014-11-19_11-50-52_utt_223	i want to leave next week	i want to leave next room	correct	correct	ST2	A
982	Sag: Ich möchte nächste Woche abreisen	user-45_2014-11-19_11-50-52_utt_224	i want to leave next week	i want to leave next room	correct	correct	ST2	A
983	Sag: Ich heisse Mona	user-45_2014-11-19_11-50-52_utt_225	my name is mona	my name is mona	correct	correct	ST2	A
984	Sag: Ich bin aus Spanien	user-45_2014-11-19_11-50-52_utt_226	i am from spain	i am from spain	correct	correct	ST2	A
985	Frag: 3 Tickets nach London	user-45_2014-11-19_11-50-52_utt_229	i'd like three tickets to london	i want three tickets to london	correct	correct	ST2	A
987	Sag: Ich heisse Paolo	user-45_2014-11-19_11-50-52_utt_231	my name is paolo	my name is paolo	correct	correct	ST2	A
988	Sag: Ich bin aus Australien	user-45_2014-11-19_11-50-52_utt_232	i am from australia	i'm from australia	correct	correct	ST2	A
989	Frag: 2 Tickets nach London	user-45_2014-11-19_11-50-52_utt_235	two tickets to london	two tickets to london	correct	correct	ST2	A
990	Frag: 2 Tickets nach London	user-45_2014-11-19_11-50-52_utt_236	i'd like two tickets to london	i'd like two tickets to london	correct	correct	ST2	A
991	Sag: Ich möchte am Dienstagnachmittag abreisen	user-45_2014-11-19_11-50-52_utt_237	i want to leave at tuesday afternoon	i want to leave at thursday afternoon	incorrect	correct	ST2	A
992	Sag: Ich möchte am Dienstagnachmittag abreisen	user-45_2014-11-19_11-50-52_utt_238	i want to leave at tuesday afternoon	i want to leave at tuesday afternoon	incorrect	correct	ST2	A
993	Sag: Ich heisse Erica	user-45_2014-11-19_11-50-52_utt_239	my name is erica	my name is erica	correct	correct	ST2	A
995	Frag: 2 Tickets nach London	user-45_2014-11-19_11-50-52_utt_243	i'd like two tickets to london	i'd like two tickets to london	correct	correct	ST2	A
996	Sag: Ich möchte am Donnerstagabend abreisen	user-45_2014-11-19_11-50-52_utt_244	i'd like to leave at thursday evening	a saturday on thursday evening	incorrect	correct	ST2	A
997	Sag: Ich möchte am Donnerstagabend abreisen	user-45_2014-11-19_11-50-52_utt_245	i want to leave at thursday evening	i want to leave at thursday evening	incorrect	correct	ST2	A
998	Sag: Ich heisse Mona	user-45_2014-11-19_11-50-52_utt_246	my name is mona	my name is mona	correct	correct	ST2	A
999	Sag: Ich bin aus Schottland	user-45_2014-11-19_11-50-52_utt_247	i am from scotland	i'm from scotland	correct	correct	ST2	A
1000	Frag: ein Ticket zum Green Park	user-45_2014-11-19_11-50-52_utt_250	i'd like a ticket to the green park	i'd like a ticket to the green park	incorrect	correct	ST2	A
1001	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-19_11-50-52_utt_251	can i pay by credit card	can i pay by credit card	correct	correct	ST2	A
1004	Sag: Ich möchte mit Visa bezahlen	user-45_2014-11-19_11-50-52_utt_256	can i pay by visa	can i pay by visa	correct	correct	ST2	A
1005	Sag: Ich möchte mit Visa bezahlen	user-45_2014-11-19_11-50-52_utt_257	i'd like to pay by visa	i'd like to pay by visa	correct	correct	ST2	A
1006	Sag: Ich möchte mit Visa bezahlen	user-45_2014-11-19_11-50-52_utt_258	i'd like to pay by visa	i'd like to pay with visa	correct	correct	ST2	A
1007	Frag: ein Ticket zum Green Park	user-45_2014-11-19_11-50-52_utt_261	i'd like a ticket to the green park	i'd like a ticket to green park	incorrect	correct	ST2	A
1008	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-19_11-50-52_utt_262	i'd like to pay by mastercard	i'd like to pay by mastercard	correct	correct	ST2	A
1009	Frag: ein Ticket zum Trafalgar Square	user-45_2014-11-19_11-50-52_utt_265	i'd like a ticket to the trafalgar square*z	i'd like a ticket to the sampras single	incorrect	correct	ST2	A
1010	Frag: ein Ticket zum Trafalgar Square	user-45_2014-11-19_11-50-52_utt_266	i'd like a ticket to the trafalgar square*z	i'd like a ticket to trafalgar square	incorrect	correct	ST2	A
1011	Sag: Ich möchte mit Mastercard bezahlen	user-45_2014-11-19_11-50-52_utt_267	i'd like to pay by mastercard	i'd like to pay by mastercard	correct	correct	ST2	A
1014	Sag: Ich möchte mit Euros bezahlen	user-45_2014-11-19_11-50-52_utt_270	i'd like to pay with euros	i'd like to pay with euros	correct	correct	ST2	A
1015	Frag: 2 Musical-Tickets	user-45_2014-11-19_11-50-52_utt_273	i'd like two musical tickets	i'd like two musical tickets	correct	correct	ST2	A
1016	Frag: 2 Musical-Tickets	user-45_2014-11-19_11-50-52_utt_274	i'd like two musical tickets	i'd like two musical tickets	correct	correct	ST2	A
1017	Sag: Ich möchte am Sonntagabend gehen	user-45_2014-11-19_11-50-52_utt_275	i want to go at sunday evening	i want to go at sunday evening	incorrect	correct	ST2	A
1018	Frag: 2 Tickets für König der Löwen	user-45_2014-11-19_11-50-52_utt_276	i'd like two tickets for the lion king	i need two tickets for the nine boots	correct	correct	ST2	A
1020	Sag: Ich möchte vorne sitzen	user-45_2014-11-19_11-50-52_utt_278	i would like to the front the seat	i would like two smaller sisters	incorrect	correct	ST2	A
1022	Frag: Tickets für das Science Museum	user-45_2014-11-19_11-50-52_utt_281	i'd like tickets to the science museum	i'd like tickets for the science museum	correct	correct	ST2	A
1023	Frag: 4 Tickets	user-45_2014-11-19_11-50-52_utt_282	i'd like four tickets	i'd like four tickets	correct	correct	ST2	A
1024	Frag: 4 Musical-Tickets	user-45_2014-11-19_11-50-52_utt_285	i'd like four musical tickets	i'd like four musical tickets	correct	correct	ST2	A
1025	Frag: ein Ticket für Sonntagabend	user-45_2014-11-19_11-50-52_utt_286	a ticket for sunday evening	a ticket for monday evening	correct	correct	ST2	A
1026	Frag: ein Ticket für Sonntagabend	user-45_2014-11-19_11-50-52_utt_287	i'd like a ticket for sunday evening	i'd like a ticket for sunday evening	correct	correct	ST2	A
1027	Frag: 4 Tickets für Wicked	user-45_2014-11-19_11-50-52_utt_288	i'd like four tickets for wicked*z	i have four tickets for wicked	correct	correct	ST2	A
1030	Sag: Ich möchte in der ersten Reihe sitzen	user-45_2014-11-19_11-50-52_utt_292	i want to sit in the first row	i want to sit in the first boots	correct	correct	ST2	A
1031	Frag: Tickets für das London Eye	user-45_2014-11-19_11-50-52_utt_293	i'd like tickets for the london eye	i'd like tickets for the london eye	correct	correct	ST2	A
1032	Frag: 2 Tickets	user-45_2014-11-19_11-50-52_utt_294	i'd like two tickets	i want two tickets	correct	correct	ST2	A
1033	Frag: 2 Musical-Tickets	user-45_2014-11-19_11-50-52_utt_297	i'd like two musical tickets	i'd like two musical tickets	correct	correct	ST2	A
1036	Frag: 2 Tickets für Billy Elliot	user-45_2014-11-19_11-50-52_utt_300	i'd like two tickets for billy elliot	i'd like two tickets for billy elliot	correct	correct	ST2	A
1039	Frag: Tickets für das Naturhistorische Museum	user-45_2014-11-19_11-50-52_utt_303	i'd like a ticket for the natural history museum	i'd like tickets for the natural history museum	correct	correct	ST2	A
1041	Frag: 3 Tickets	user-45_2014-11-19_11-50-52_utt_305	i'd like three tickets	i'd like three tickets	correct	correct	ST2	A
1042	Frag: 1 Musical-Ticket	user-45_2014-11-19_11-50-52_utt_308	i'd like a ticket to the musical tickets	i'd like a ticket to the musical tickets	incorrect	correct	ST2	A
1043	Frag: 1 Musical-Ticket	user-45_2014-11-19_11-50-52_utt_309	i'd like one musical ticket	i'd like one musical tickets	correct	correct	ST2	A
1045	Frag: ein Ticket für Wicked	user-45_2014-11-19_11-50-52_utt_312	a ticket for wicked	a ticket for three tickets	correct	correct	ST2	A
1046	Frag: ein Ticket für Wicked	user-45_2014-11-19_11-50-52_utt_313	i'd like a ticket for wicked*z	i'd like two tickets for wicked	correct	correct	ST2	A
1048	Sag: Ich möchte in der vierten Reihe sitzen	user-45_2014-11-19_11-50-52_utt_316	i'd like to sit in the fourth row*z	i'd like to sit in the card blue	correct	correct	ST2	A
1052	Frag: einen Orangensaft	user-45_2014-11-19_11-50-52_utt_322	i'd like an orange juice	i'd like an orange juice	correct	correct	ST2	A
1053	Frag: den Sonntagsbraten	user-45_2014-11-19_11-50-52_utt_323	i'd like the sunday roast	i'd like the sunday roast	correct	correct	ST2	A
1054	Frag: meinen Sonntagsbraten durchgebraten	user-45_2014-11-19_11-50-52_utt_324	i want my sunday roast well done	i want my sunday roast well done	correct	correct	ST2	A
1055	Frag: Auberginen	user-45_2014-11-19_11-50-52_utt_325	i would like eggplants	i would like a	correct	correct	ST2	A
1056	Frag: Auberginen	user-45_2014-11-19_11-50-52_utt_326	*silence		incorrect	incorrect	ST2	A
1057	Frag: Auberginen	user-45_2014-11-19_11-50-52_utt_327	i would like eggplants	i would like a mixed salad	correct	correct	ST2	A
1058	Sag: Dies ist nicht was ich bestellt habe	user-45_2014-11-19_11-50-52_utt_329	this is not that what i ordered	this is not what i ordered	incorrect	correct	ST2	A
1061	Sag: Ich warte auf das bestellte Essen	user-45_2014-11-19_11-50-52_utt_333	i am waiting for the ordered food	i am a room for the ordered boots	incorrect	correct	ST2	A
1063	Frag: Ich möchte die Dessertkarte	user-45_2014-11-19_11-50-52_utt_336	i'd like the dessert card	i'd like the dessert card	incorrect	correct	ST2	A
1064	Frag: Ich möchte die Dessertkarte	user-45_2014-11-19_11-50-52_utt_337	the dessert menu please	the dessert menu please	correct	correct	ST2	A
1065	Frag: Himbeersorbet	user-45_2014-11-19_11-50-52_utt_338	i want a raspberry sorbet	i want the raspberry sorbet	correct	correct	ST2	A
1066	Frag: Himbeersorbet	user-45_2014-11-19_11-50-52_utt_339	i'd like the raspberry sorbet	i'd like the raspberry sorbet	correct	correct	ST2	A
1067	Frag: Ich möchte die Rechnung	user-45_2014-11-19_11-50-52_utt_340	i'd like the bill	i'd like the bill	correct	correct	ST2	A
1068	Sag: Ich möchte mit Kreditkarte bezahlen	user-45_2014-11-19_11-50-52_utt_341	i'd like to pay by credit card	i'd like to pay by credit card	correct	correct	ST2	A
1069	Frag: einen Tee	user-45_2014-11-19_11-50-52_utt_344	i'd like a tea	i'd like a tea	correct	correct	ST2	A
1071	Frag: einen Tee	user-45_2014-11-19_11-50-52_utt_346	i'd like a tea	i would like a tea	correct	correct	ST2	A
1072	Frag: ein Steak	user-45_2014-11-19_11-50-52_utt_348	i'd like a steak	i'd like the steak	correct	correct	ST2	A
1075	Frag: mein Steak durchgebraten	user-45_2014-11-19_11-50-52_utt_352	i'd like my steak well done	i'd like my steak well done	correct	correct	ST2	A
1076	Frag: Erbsen	user-45_2014-11-19_11-50-52_utt_353	i'd like peas	i would like pea	correct	correct	ST2	A
1077	Frag: Erbsen	user-45_2014-11-19_11-50-52_utt_354	i'd like peas	i would like pea	correct	correct	ST2	A
1078	Frag: Erbsen	user-45_2014-11-19_11-50-52_utt_355	i'd like some peas	i'd like some please	correct	correct	ST2	A
1079	Frag: Ich möchte die Dessertkarte	user-45_2014-11-19_11-50-52_utt_356	i'd like the dessert*z card	i'd like the dessert card	incorrect	correct	ST2	A
1080	Frag: Ich möchte die Dessertkarte	user-45_2014-11-19_11-50-52_utt_357	the dessert*z menu please	the dessert menu please	correct	correct	ST2	A
1081	Frag: Himbeersorbet	user-45_2014-11-19_11-50-52_utt_358	i'd like the himbeer*v sorbet	i'd like a hamburger	incorrect	incorrect	ST2	A
1082	Frag: Himbeersorbet	user-45_2014-11-19_11-50-52_utt_359	i'd like the raspberry sorbet	i'd like the raspberry sorbet	correct	correct	ST2	A
1083	Frag: Ich möchte die Rechnung	user-45_2014-11-19_11-50-52_utt_360	i'd like the bill	i'd like the bill	correct	correct	ST2	A
1084	Sag: Ich möchte mit Visa bezahlen	user-45_2014-11-19_11-50-52_utt_361	i'd like to pay by visa	i'd like to pay by visa	correct	correct	ST2	A
1085	Frag: eine Cola	user-45_2014-11-19_11-50-52_utt_364	i'd like a coke	i'd like a coke	correct	correct	ST2	A
1086	Frag: den Sonntagsbraten	user-45_2014-11-19_11-50-52_utt_365	i'd like the sunday roast	i'd like the sunday roast	correct	correct	ST2	A
1087	Frag: meinen Sonntagsbraten rare	user-45_2014-11-19_11-50-52_utt_366	i'd like my sunday roast rare	i'd like my sunday roast rare	correct	correct	ST2	A
1088	Frag: etwas Kartoffelstock	user-45_2014-11-19_11-50-52_utt_367	i want some mashed potatoes	i want some mashed potato	correct	correct	ST2	A
1089	Sag: Dies ist nicht was ich bestellt habe	user-45_2014-11-19_11-50-52_utt_368	that's not that what i ordered	that is not what i ordered	incorrect	correct	ST2	A
1090	Sag: Dies ist nicht was ich bestellt habe	user-45_2014-11-19_11-50-52_utt_369	this is not what i ordered	this is not what i ordered	correct	correct	ST2	A
1091	Frag: Ich möchte die Dessertkarte	user-45_2014-11-19_11-50-52_utt_371	i'd like the dessert*z card	i'd like the dessert card	incorrect	correct	ST2	A
1092	Frag: Ich möchte die Dessertkarte	user-45_2014-11-19_11-50-52_utt_372	*silence		incorrect	incorrect	ST2	A
1093	Frag: Ich möchte die Dessertkarte	user-45_2014-11-19_11-50-52_utt_373	the dessert menu please	the dessert menu please	correct	correct	ST2	A
1094	Frag: Zitronenkuchen	user-45_2014-11-19_11-50-52_utt_374	i would like the lemon cake	i would like the bill please	correct	correct	ST2	A
1095	Frag: Ich möchte die Rechnung	user-45_2014-11-19_11-50-52_utt_375	i'd like the bill	i'd like the bill	correct	correct	ST2	A
